店舗名,メニュー名,たんぱく質 (g),脂質 (g),炭水化物 (g)
大戸屋,すりおろし生しょうがたっぷり 豚肩ロースの生姜焼き,36.4,37.8,87.1
大戸屋,もろみチキンの炭火焼,42.4,31.0,78.3
大戸屋,大戸屋風チキン南蛮,44.1,71.0,107.8
大戸屋,鶏と野菜の黒酢あん,27.6,33.5,128.6
大戸屋,しまほっけの炭火焼き,39.7,20.2,78.8
大戸屋,大戸屋ばくだん丼,28.7,12.0,77.8
やよい軒,,,,
まいどおおきに食堂,,,,
さち福や,,,,
魚べい,,,,
かつや,,,,
松のや,,,,
かつ銀,,,,
マクドナルド,,,,
モスバーガー,,,,
ロッテリア,,,,
フレッシュネスバーガー,,,,
バーガーキング,,,,
びっくりドンキー,ねぎポンおろしバーグステーキ,22.9,14.9,29.0
びっくりドンキー,レギュラーバーグステーキ,30.1,21.2,24.3
びっくりドンキー,おろしそバーグステーキ,30.3,21.2,26.0
びっくりドンキー,パインバーグステーキ,30.3,21.2,37.8
びっくりドンキー,エッグバーグステーキ,36.8,26.8,24.4
びっくりドンキー,黒デミバーグステーキ,32.2,23.3,27.7
びっくりドンキー,チーズバーグステーキ,39.3,31.4,25.1
びっくりドンキー,フォンデュ風チーズバーグステーキ,39.7,39.0,26.4
びっくりドンキー,コロコロステーキ,31.9,37.2,15.0
びっくりドンキー,ハンバーグ＆コロコロステーキ,40.5,38.9,25.5
びっくりドンキー,びっくりエビフライ＆ハンバーグステーキ,36.9,56.2,38.1
びっくりドンキー,レギュラーバーグディッシュ,26.1,27.1,91.0
びっくりドンキー,エッグバーグディッシュ,32.9,32.8,91.2
びっくりドンキー,チーズバーグディッシュ,35.4,37.3,91.8
びっくりドンキー,パインバーグディッシュ,26.4,27.1,104.5
びっくりドンキー,マーメードサラダS,6.2,7.5,7.1
びっくりドンキー,シーザーサラダS,4.3,14.4,3.9
びっくりドンキー,フライドポテト,7.9,34.8,74.0
びっくりドンキー,小ライス,3.8,0.5,55.7
びっくりドンキー,カリフラワーライス,4.3,0.2,8.2
びっくりドンキー,おこさまカレー,4.2,4.0,46.3
びっくりドンキー,プチうどん,6.3,1.9,29.4
びっくりドンキー,ガトーショコラパフェ,8.5,25.1,49.5
